Q1,T1,Tsp,err
77.45373424000005,43.188199999999995,51.0,7.811800000000005
76.11310264000005,43.51049999999999,51.0,7.489500000000007
74.75267864000001,43.8328,51.0,7.167200000000001
75.32605464000001,43.8328,51.0,7.167200000000001
73.93437072000003,44.1551,51.0,6.844900000000003
72.52237872000003,44.477399999999996,51.0,6.522600000000004
73.04418672000003,44.477399999999996,51.0,6.522600000000004
71.61633120000005,44.799699999999994,51.0,6.200300000000006
72.11235520000004,44.799699999999994,51.0,6.200300000000006
70.6487952,45.122,51.0,5.878
71.1190352,45.122,51.0,5.878
69.62524664000001,45.4443,51.0,5.555700000000002
70.06970264000002,45.4443,51.0,5.555700000000002
68.55457464000003,45.7666,51.0,5.233400000000003
68.97324664000003,45.7666,51.0,5.233400000000003
67.43233464000004,46.088899999999995,51.0,4.911100000000005
